,index,Actor,ActorID,Film,Year,Votes,Rating,FilmID,in_endgame
0,5695,Michael Douglas,nm0000140,Avengers: Endgame,2019,849079,8.4,tt4154796,1
1,5696,Michael Douglas,nm0000140,Ant-Man and the Wasp,2018,319007,7.0,tt5095030,1
2,5697,Michael Douglas,nm0000140,Animal World,2018,3770,6.5,tt7946836,1
3,5698,Michael Douglas,nm0000140,Unlocked,2017,30601,6.3,tt1734493,1
4,5699,Michael Douglas,nm0000140,Ant-Man,2015,579879,7.3,tt0478970,1
5,5700,Michael Douglas,nm0000140,And So It Goes,2014,12963,5.8,tt2465146,1
6,5701,Michael Douglas,nm0000140,Beyond the Reach,2014,9775,5.6,tt2911668,1
7,5702,Michael Douglas,nm0000140,Last Vegas,2013,128857,6.6,tt1204975,1
8,5703,Michael Douglas,nm0000140,Behind the Candelabra,2013,41015,7.0,tt1291580,1
9,5704,Michael Douglas,nm0000140,Haywire,2011,84174,5.8,tt1506999,1
10,5705,Michael Douglas,nm0000140,Wall Street: Money Never Sleeps,2010,99030,6.2,tt1027718,1
11,5706,Michael Douglas,nm0000140,Ghosts of Girlfriends Past,2009,85373,5.8,tt0821640,1
12,5707,Michael Douglas,nm0000140,Solitary Man,2009,15672,6.3,tt1294213,1
13,5708,Michael Douglas,nm0000140,Beyond a Reasonable Doubt,2009,12342,5.9,tt1183251,1
14,5709,Michael Douglas,nm0000140,King of California,2007,22247,6.6,tt0388182,1
15,5710,Michael Douglas,nm0000140,"You, Me and Dupree",2006,78739,5.6,tt0463034,1
16,5711,Michael Douglas,nm0000140,The Sentinel,2006,48166,6.1,tt0443632,1
17,5712,Michael Douglas,nm0000140,The In-Laws,2003,16324,5.8,tt0314786,1
18,5713,Michael Douglas,nm0000140,It Runs in the Family,2003,4653,5.6,tt0311110,1
19,5714,Michael Douglas,nm0000140,Don't Say a Word,2001,49340,6.3,tt0260866,1
20,5715,Michael Douglas,nm0000140,One Night at McCool's,2001,28462,6.1,tt0203755,1
21,5716,Michael Douglas,nm0000140,Traffic,2000,197099,7.6,tt0181865,1
22,5717,Michael Douglas,nm0000140,Wonder Boys,2000,61650,7.2,tt0185014,1
23,5718,Michael Douglas,nm0000140,A Perfect Murder,1998,80079,6.5,tt0120787,1
24,5719,Michael Douglas,nm0000140,The Game,1997,349130,7.8,tt0119174,1
25,5720,Michael Douglas,nm0000140,The Ghost and the Darkness,1996,56742,6.9,tt0116409,1
26,5721,Michael Douglas,nm0000140,The American President,1995,53193,6.8,tt0112346,1
27,5722,Michael Douglas,nm0000140,Disclosure,1994,46848,6.1,tt0109635,1
28,5723,Michael Douglas,nm0000140,Falling Down,1993,173696,7.6,tt0106856,1
29,5724,Michael Douglas,nm0000140,Basic Instinct,1992,181016,7.0,tt0103772,1
30,5725,Michael Douglas,nm0000140,Shining Through,1992,9192,6.5,tt0105391,1
31,5726,Michael Douglas,nm0000140,Black Rain,1989,50043,6.7,tt0096933,1
32,5727,Michael Douglas,nm0000140,The War of the Roses,1989,48513,6.9,tt0098621,1
33,5728,Michael Douglas,nm0000140,Wall Street,1987,145061,7.4,tt0094291,1
34,5729,Michael Douglas,nm0000140,Fatal Attraction,1987,77697,6.9,tt0093010,1
35,5730,Michael Douglas,nm0000140,The Jewel of the Nile,1985,51401,6.2,tt0089370,1
